source_farm,target_farm,condition,dataset_file,event_id,turbine_id,label,fault_category,alarms_count,event_detected,max_criticality,coverage_fbeta,lead_time_steps,earliness_ws,accuracy
Wind Farm A,Wind Farm B,FROZEN_SOURCE,19.csv,19,CARE-WT-11,anomaly_event,high temperature,53,False,23.0,0.03727549983056591,2699,0.010392720306513411,
Wind Farm A,Wind Farm B,FROZEN_SOURCE,27.csv,27,CARE-WT-7,anomaly_event,Turbine is stopped due to a main bearing damage,1234,True,1085.0,0.0408609576427256,8275,0.03234993136050244,
Wind Farm A,Wind Farm B,FROZEN_SOURCE,34.csv,34,CARE-WT-14,anomaly_event,high temperature,89,False,39.0,0.024084778420038536,2971,0.0279804674134571,
Wind Farm A,Wind Farm B,FROZEN_SOURCE,53.csv,53,CARE-WT-6,anomaly_event,Rotor Bearing 2 - Damage,429,True,157.0,0.1488508406601882,5992,0.08667688991558893,
Wind Farm A,Wind Farm B,FROZEN_SOURCE,7.csv,7,CARE-WT-13,anomaly_event,high temperature,414,True,261.0,0.07095343680709534,4321,0.0529250512319484,
Wind Farm A,Wind Farm B,FROZEN_SOURCE,77.csv,77,CARE-WT-12,anomaly_event,Turbine is in standstill since 01.08 due to rotorbearing damage.,942,True,742.0,0.045332026464101935,8130,0.06104156486553677,
Wind Farm A,Wind Farm B,TARGET_NORMAL_CALIBRATED,19.csv,19,CARE-WT-11,anomaly_event,high temperature,48,False,23.0,0.029000341180484477,2697,0.009525187070894083,
Wind Farm A,Wind Farm B,TARGET_NORMAL_CALIBRATED,27.csv,27,CARE-WT-7,anomaly_event,Turbine is stopped due to a main bearing damage,1216,True,1135.0,0.016439643024894316,8274,0.02615153798506063,
Wind Farm A,Wind Farm B,TARGET_NORMAL_CALIBRATED,34.csv,34,CARE-WT-14,anomaly_event,high temperature,91,False,53.0,0.008143322475570033,3099,0.02776741749495799,
Wind Farm A,Wind Farm B,TARGET_NORMAL_CALIBRATED,53.csv,53,CARE-WT-6,anomaly_event,Rotor Bearing 2 - Damage,356,True,266.0,0.04879690392057883,5993,0.07586711672296018,
Wind Farm A,Wind Farm B,TARGET_NORMAL_CALIBRATED,7.csv,7,CARE-WT-13,anomaly_event,high temperature,373,True,298.0,0.015208235844642022,4321,0.038286147491280266,
Wind Farm A,Wind Farm B,TARGET_NORMAL_CALIBRATED,77.csv,77,CARE-WT-12,anomaly_event,Turbine is in standstill since 01.08 due to rotorbearing damage.,944,True,810.0,0.026138909634055265,7841,0.0626680968832423,
Wind Farm A,Wind Farm B,TARGET_SPECIFIC_REFERENCE,19.csv,19,CARE-WT-11,anomaly_event,high temperature,15,False,7.0,0.0,669,0.0018202447993005736,
Wind Farm A,Wind Farm B,TARGET_SPECIFIC_REFERENCE,27.csv,27,CARE-WT-7,anomaly_event,Turbine is stopped due to a main bearing damage,988,True,820.0,0.001782319391634981,8274,0.010750814225758772,
Wind Farm A,Wind Farm B,TARGET_SPECIFIC_REFERENCE,34.csv,34,CARE-WT-14,anomaly_event,high temperature,41,False,17.0,0.001639344262295082,2969,0.010098884914790659,
Wind Farm A,Wind Farm B,TARGET_SPECIFIC_REFERENCE,53.csv,53,CARE-WT-6,anomaly_event,Rotor Bearing 2 - Damage,288,True,247.0,0.009556907037358819,5992,0.06268175069856438,
Wind Farm A,Wind Farm B,TARGET_SPECIFIC_REFERENCE,7.csv,7,CARE-WT-13,anomaly_event,high temperature,175,False,53.0,0.004728132387706856,4321,0.025075021555149877,
Wind Farm A,Wind Farm B,TARGET_SPECIFIC_REFERENCE,77.csv,77,CARE-WT-12,anomaly_event,Turbine is in standstill since 01.08 due to rotorbearing damage.,614,True,210.0,0.0075815011372251705,6781,0.03247181001694542,
