gate_id,question,detector,feature_policy,farm_or_pair,condition,metric,value,source_artifact,status
5.4-fidelity,"How many of 15 canonical signals resolve per farm?",n/a,CARE_NARROW,Farm A,n/a,recognized_signals,2,artifacts/evaluation/external_care/feature_inventory.csv,COMPUTED
5.4-fidelity,"How many of 15 canonical signals resolve per farm?",n/a,CARE_SEMANTIC,Farm A,n/a,recognized_signals,10,artifacts/evaluation/external_care/feature_inventory.csv,COMPUTED
5.4-fidelity,"How many of 15 canonical signals resolve per farm?",n/a,CARE_NARROW,Farm B,n/a,recognized_signals,2,artifacts/evaluation/external_care/feature_inventory.csv,COMPUTED
5.4-fidelity,"How many of 15 canonical signals resolve per farm?",n/a,CARE_SEMANTIC,Farm B,n/a,recognized_signals,9,artifacts/evaluation/external_care/feature_inventory.csv,COMPUTED
5.4-fidelity,"How many of 15 canonical signals resolve per farm?",n/a,CARE_NARROW,Farm C,n/a,recognized_signals,2,artifacts/evaluation/external_care/feature_inventory.csv,COMPUTED
5.4-fidelity,"How many of 15 canonical signals resolve per farm?",n/a,CARE_SEMANTIC,Farm C,n/a,recognized_signals,13,artifacts/evaluation/external_care/feature_inventory.csv,COMPUTED
5.4-fidelity,"Does the richer feature policy improve CARE?",isolation_forest,CARE_NARROW,Farm A,in-farm,CARE,0.5345,artifacts/evaluation/external_care/feature_policy_comparison.csv,COMPUTED
5.4-fidelity,"Does the richer feature policy improve CARE?",isolation_forest,CARE_SEMANTIC,Farm A,in-farm,CARE,0.6022,artifacts/evaluation/external_care/feature_policy_comparison.csv,COMPUTED
5.4-fidelity,"Does the richer feature policy improve CARE?",zscore_threshold,CARE_NARROW,Farm A,in-farm,CARE,0.5062,artifacts/evaluation/external_care/feature_policy_comparison.csv,COMPUTED
5.4-fidelity,"Does the richer feature policy improve CARE?",zscore_threshold,CARE_SEMANTIC,Farm A,in-farm,CARE,0.5308,artifacts/evaluation/external_care/feature_policy_comparison.csv,COMPUTED
5.4-fidelity,"Does the richer feature policy improve CARE?",isolation_forest,CARE_NARROW,Farm B,in-farm,CARE,0.5324,artifacts/evaluation/external_care/feature_policy_comparison.csv,COMPUTED
5.4-fidelity,"Does the richer feature policy improve CARE?",isolation_forest,CARE_SEMANTIC,Farm B,in-farm,CARE,0.5554,artifacts/evaluation/external_care/feature_policy_comparison.csv,COMPUTED
5.4-fidelity,"Does the richer feature policy improve CARE?",zscore_threshold,CARE_NARROW,Farm B,in-farm,CARE,0.4013,artifacts/evaluation/external_care/feature_policy_comparison.csv,COMPUTED
5.4-fidelity,"Does the richer feature policy improve CARE?",zscore_threshold,CARE_SEMANTIC,Farm B,in-farm,CARE,0.5349,artifacts/evaluation/external_care/feature_policy_comparison.csv,COMPUTED
5.4-fidelity,"Does the richer feature policy improve CARE?",isolation_forest,CARE_NARROW,Farm C,in-farm,CARE,0.5328,artifacts/evaluation/external_care/feature_policy_comparison.csv,COMPUTED
5.4-fidelity,"Does the richer feature policy improve CARE?",isolation_forest,CARE_SEMANTIC,Farm C,in-farm,CARE,0.6023,artifacts/evaluation/external_care/feature_policy_comparison.csv,COMPUTED
5.4-fidelity,"Does the richer feature policy improve CARE?",zscore_threshold,CARE_NARROW,Farm C,in-farm,CARE,0.4388,artifacts/evaluation/external_care/feature_policy_comparison.csv,COMPUTED
