case_id,case_name,case_category,input_asset_id,input_risk_score,input_sensor_health,engine_action,agent_generated_action,cited_signals_match_packet,no_invented_values,temporal_eligibility_passed,decision_consistency_passed,abstention_fidelity_passed,is_fully_compliant,audit_notes
AGT-01,Clear Equipment Fault #1,CLEAR_EQUIPMENT_FAULT,WT-010,0.82,ok,repair_now,repair_now,True,True,True,True,True,True,High-risk bearing/generator defect; agent cites exact thermal residual and recommends repair.
AGT-02,Clear Equipment Fault #2,CLEAR_EQUIPMENT_FAULT,WT-011,0.84,ok,repair_now,repair_now,True,True,True,True,True,True,High-risk bearing/generator defect; agent cites exact thermal residual and recommends repair.
AGT-03,Clear Equipment Fault #3,CLEAR_EQUIPMENT_FAULT,WT-012,0.86,ok,repair_now,repair_now,True,True,True,True,True,True,High-risk bearing/generator defect; agent cites exact thermal residual and recommends repair.
AGT-04,Clear Equipment Fault #4,CLEAR_EQUIPMENT_FAULT,WT-013,0.88,ok,repair_now,repair_now,True,True,True,True,True,True,High-risk bearing/generator defect; agent cites exact thermal residual and recommends repair.
AGT-05,Clear Equipment Fault #5,CLEAR_EQUIPMENT_FAULT,WT-014,0.9,ok,repair_now,repair_now,True,True,True,True,True,True,High-risk bearing/generator defect; agent cites exact thermal residual and recommends repair.
AGT-06,Clear Equipment Fault #6,CLEAR_EQUIPMENT_FAULT,WT-015,0.92,ok,repair_now,repair_now,True,True,True,True,True,True,High-risk bearing/generator defect; agent cites exact thermal residual and recommends repair.
AGT-07,Environmental Lookalike #1,ENVIRONMENTAL_LOOKALIKE,INV-010,0.45,ok,monitor,monitor,True,True,True,True,True,True,CAMS AOD explains 78% of generation drop; agent explains dust accumulation and suppresses inverter replacement.
AGT-08,Environmental Lookalike #2,ENVIRONMENTAL_LOOKALIKE,INV-011,0.45,ok,monitor,monitor,True,True,True,True,True,True,CAMS AOD explains 78% of generation drop; agent explains dust accumulation and suppresses inverter replacement.
AGT-09,Environmental Lookalike #3,ENVIRONMENTAL_LOOKALIKE,INV-012,0.45,ok,monitor,monitor,True,True,True,True,True,True,CAMS AOD explains 78% of generation drop; agent explains dust accumulation and suppresses inverter replacement.
AGT-10,Environmental Lookalike #4,ENVIRONMENTAL_LOOKALIKE,INV-013,0.45,ok,monitor,monitor,True,True,True,True,True,True,CAMS AOD explains 78% of generation drop; agent explains dust accumulation and suppresses inverter replacement.
AGT-11,Environmental Lookalike #5,ENVIRONMENTAL_LOOKALIKE,INV-014,0.45,ok,monitor,monitor,True,True,True,True,True,True,CAMS AOD explains 78% of generation drop; agent explains dust accumulation and suppresses inverter replacement.
AGT-12,Sensor Fault #1,SENSOR_FAULT,WT-020,0.95,failed,abstain,abstain,True,True,True,True,True,True,Thermocouple frozen; agent explicitly explains sensor failure and abstains from dispatch.
AGT-13,Sensor Fault #2,SENSOR_FAULT,WT-021,0.95,failed,abstain,abstain,True,True,True,True,True,True,Thermocouple frozen; agent explicitly explains sensor failure and abstains from dispatch.
AGT-14,Sensor Fault #3,SENSOR_FAULT,WT-022,0.95,failed,abstain,abstain,True,True,True,True,True,True,Thermocouple frozen; agent explicitly explains sensor failure and abstains from dispatch.
AGT-15,Sensor Fault #4,SENSOR_FAULT,WT-023,0.95,failed,abstain,abstain,True,True,True,True,True,True,Thermocouple frozen; agent explicitly explains sensor failure and abstains from dispatch.
AGT-16,Sensor Fault #5,SENSOR_FAULT,WT-024,0.95,failed,abstain,abstain,True,True,True,True,True,True,Thermocouple frozen; agent explicitly explains sensor failure and abstains from dispatch.
AGT-17,Common Cause Event #1,COMMON_CAUSE_EVENT,WT-01,0.6,ok,monitor,monitor,True,True,True,True,True,True,60% of fleet curtailed; agent cites fleet-wide curtailment and suppresses individual work order.
AGT-18,Common Cause Event #2,COMMON_CAUSE_EVENT,WT-02,0.6,ok,monitor,monitor,True,True,True,True,True,True,60% of fleet curtailed; agent cites fleet-wide curtailment and suppresses individual work order.
AGT-19,Common Cause Event #3,COMMON_CAUSE_EVENT,WT-03,0.6,ok,monitor,monitor,True,True,True,True,True,True,60% of fleet curtailed; agent cites fleet-wide curtailment and suppresses individual work order.
AGT-20,Common Cause Event #4,COMMON_CAUSE_EVENT,WT-04,0.6,ok,monitor,monitor,True,True,True,True,True,True,60% of fleet curtailed; agent cites fleet-wide curtailment and suppresses individual work order.
AGT-21,Ambiguous Evidence #1,AMBIGUOUS_EVIDENCE,INV-020,0.48,ok,inspect_first,inspect_first,True,True,True,True,True,True,Moderate risk with positive VOI; agent recommends boroscope inspection before committing capital.
AGT-22,Ambiguous Evidence #2,AMBIGUOUS_EVIDENCE,INV-021,0.48,ok,inspect_first,inspect_first,True,True,True,True,True,True,Moderate risk with positive VOI; agent recommends boroscope inspection before committing capital.
