source_farm,target_farm,condition,dataset_file,event_id,turbine_id,label,fault_category,alarms_count,event_detected,max_criticality,coverage_fbeta,lead_time_steps,earliness_ws,accuracy,failure_classification
Wind Farm A,Wind Farm B,FROZEN_SOURCE,19.csv,19,CARE-WT-11,anomaly_event,high temperature,53,False,23.0,0.03727549983056591,2699,0.010392720306513411,,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm A,Wind Farm B,FROZEN_SOURCE,34.csv,34,CARE-WT-14,anomaly_event,high temperature,89,False,39.0,0.024084778420038536,2971,0.0279804674134571,,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm A,Wind Farm B,TARGET_NORMAL_CALIBRATED,19.csv,19,CARE-WT-11,anomaly_event,high temperature,48,False,23.0,0.029000341180484477,2697,0.009525187070894083,,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm A,Wind Farm B,TARGET_NORMAL_CALIBRATED,34.csv,34,CARE-WT-14,anomaly_event,high temperature,91,False,53.0,0.008143322475570033,3099,0.02776741749495799,,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm A,Wind Farm B,TARGET_SPECIFIC_REFERENCE,19.csv,19,CARE-WT-11,anomaly_event,high temperature,15,False,7.0,0.0,669,0.0018202447993005736,,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm A,Wind Farm B,TARGET_SPECIFIC_REFERENCE,34.csv,34,CARE-WT-14,anomaly_event,high temperature,41,False,17.0,0.001639344262295082,2969,0.010098884914790659,,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm A,Wind Farm B,TARGET_SPECIFIC_REFERENCE,7.csv,7,CARE-WT-13,anomaly_event,high temperature,175,False,53.0,0.004728132387706856,4321,0.025075021555149877,,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm A,Wind Farm C,FROZEN_SOURCE,15.csv,15,CARE-WT-12,anomaly_event,Randomn small failures regarding pitch resulting in a longer standstill due to a defect pitch encoder (26/02),15,False,3.0,0.022267206477732792,825,0.0053699581293630075,,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm A,Wind Farm C,FROZEN_SOURCE,47.csv,47,CARE-WT-21,anomaly_event,"Failure due to Rotorbrake and Hydraulic problemes - Hydraulic pump A disabeld, 2h later turbine back in production - Data shows anomaly in temp_hydraulic_oil_tank_1_average until 15.01.2023",61,False,17.0,0.012376237623762377,700,0.028221271586382313,,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm A,Wind Farm C,FROZEN_SOURCE,55.csv,55,CARE-WT-50,anomaly_event,Harting plug Nacelle/HUB damaged + NCR20_HUB: Wiring blade control system,135,False,50.0,0.11123897199846566,2162,0.051129893960374526,,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm A,Wind Farm C,FROZEN_SOURCE,67.csv,67,CARE-WT-35,anomaly_event,Turbine has some issues with overpressure on the main transformer,245,False,57.0,0.05352311492765557,8035,0.027053175330551134,,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm A,Wind Farm C,FROZEN_SOURCE,76.csv,76,CARE-WT-53,anomaly_event,WEC in failure with pitch battery issues - rewiring,106,False,61.0,0.025,-70,0.20673002370350674,,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm A,Wind Farm C,FROZEN_SOURCE,78.csv,78,CARE-WT-15,anomaly_event,P20_Grounding role brake disc + P20_cover-lightning-main-cabinet-hub,79,False,70.0,0.01968503937007874,230,0.041761556443707104,,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm A,Wind Farm C,FROZEN_SOURCE,9.csv,9,CARE-WT-55,anomaly_event,PENDING19_PREV_YAW_Grease pump defective,65,False,29.0,0.0,1126,0.0026544257060173632,,not detected under the official CARE event criterion (max criticality < 72)
