capability,evidence_source,dataset_or_fixture,real_or_synthetic,external_or_internal,metric_or_result,artifact,what_the_evidence_actually_proves,what_it_does_NOT_prove,final_status
CARE wind anomaly detection,"CARE to Compare benchmark (Fraunhofer IEE), Zenodo 10.5281/zenodo.10958775 — 3 wind farms (A/B/C), 36 turbines, author-labeled failure events",CARE Farms A/B/C SCADA + failure event logs,REAL,EXTERNAL,"Normal accuracy 0.995-0.999 across all 3 farms; CARE Operational Score 0.601 (A), 0.560 (B), 0.575 (C); false alarm rate <= 0.005",artifacts/evaluation/external_care/ ; docs/evaluation/EXTERNAL_CARE.md,The physics-conditioned residual anomaly detector discriminates documented real turbine failure events from normal SCADA on an independent public benchmark across 3 farms.,Universal zero-shot generalization to uncalibrated fleets or novel turbine models; causal root-cause diagnosis of the detected anomaly.,VALIDATED
CARE cross-farm transfer,"CARE benchmark, 6 directed transfers under frozen CARE_COMMON protocol (Gate 5.4)","CARE Farms A/B/C cross-evaluation (A<->B, A<->C, B<->C)",REAL,EXTERNAL,Target-normal calibration recovers 106.3% of the transfer gap on C->A; B->A normal accuracy restored from 0.5965 to 0.9963,artifacts/evaluation/gate54/ ; docs/checkpoints/14-gate54-cross-farm-wind-transfer.md,Calibrating on a small amount of unlabelled normal SCADA from a new (target) farm recovers cross-farm anomaly-detection performance on the real CARE benchmark.,"Raw, uncalibrated zero-shot transfer works without any target-farm telemetry; performance on farms/turbine types outside the CARE benchmark.",VALIDATED
Kelmarsh benchmark,"Kelmarsh Wind Farm open dataset (Plumley), Zenodo 10.5281/zenodo.5841834 — 6 Senvion MM92 turbines, UK",Kelmarsh SCADA + Greenbyte operational status/event codes,REAL,EXTERNAL,"Statistically significant elevation of RAI anomaly residuals during documented operational/maintenance event windows (cable untwist, curtailment, scheduled maintenance stop, calm-standstill)",artifacts/evaluation/kelmarsh_event_behaviour/ ; docs/evaluation/KELMARSH_EVENT_BEHAVIOUR.md,"RAI's continuous anomaly score behaves consistently with independently logged operational events on a second, independent real wind farm dataset.",Failure prediction or hardware/component-failure detection. Kelmarsh's public record contains zero verified mechanical-failure ground truth; it documents operational status and trips only.,VALIDATED
Environmental context / discrimination,"pvlib clear-sky/POA physics baseline + CAMS/Open-Meteo dust & precipitation forecasts + peer-turbine gating (rai/models/environment_solar.py, rai/models/weather_provider.py)",Real cached/live Open-Meteo + CAMS weather feeds applied to internal simulator-generated telemetry; Gate 2 leakage-hardened internal evaluation,MIXED (real external weather data; internal synthetic telemetry for fault/no-fault ground truth),MIXED (external weather API + internal test scenarios),Deterministic unit tests passing for clear-sky/soiling/curtailment additive loss decomposition; Gate 2 audit reports false alarm rate 0.19/asset-year post peer-gating on leakage-hardened internal evaluation,tests/test_environment_solar.py ; docs/evaluation/GATE2_FORENSIC_AUDIT.md,"The system computes a physics-grounded expected-clean-power baseline from real weather inputs and can rule out environmental causes (irradiance, soiling, curtailment) before asserting an equipment fault, verified deterministically and under a zero-leakage audit.","Real-world misdiagnosis rate on live plant instrumentation; evaluation ground truth is internal-simulator-based, not independently observed field weather/fault co-occurrence.",DEMONSTRATED
Solar PVDAQ data foundation,"NREL PVDAQ Open Energy Data Initiative (OEDI S3) — Systems 34, 1283, 1239, 1430, 1433","450 daily telemetry files, checksum-verified, mapped to canonical 26-signal solar taxonomy",REAL,EXTERNAL,"Adjudicated cohort: Development=[1239, 1283, 34], Validation=[] (state INSUFFICIENT_DATA); Systems 1430/1433 excluded (100% null UTC timestamps / no plant-level AC channel)",artifacts/evaluation/gate56/cohort_adjudication/ ; docs/checkpoints/13-solar-data-foundation.md,"Real public solar telemetry was acquired, checksum-verified, and mapped to a canonical schema, with documented, evidence-based data-quality exclusions.","Any solar performance or fault model. This gate validates data acquisition only; the validation cohort produced by adjudication is empty, so no model has been independently evaluated on held-out systems.",VALIDATED
Solar physics layer,pvlib ModelChain physics reference vs polynomial empirical baseline vs hybrid champion model (Gate 5.6C),"Development cohort only (NREL PVDAQ Systems 1239, 1283, 34), temporal within-system holdout split",REAL telemetry; NOT_INDEPENDENTLY_VALIDATED methodology,EXTERNAL data source; INTERNAL model development,"Within-system temporal holdout: R^2 = 0.70-0.99, nRMSE = 3-10% of rated capacity",artifacts/evaluation/gate56/gate56c_model_development/ ; docs/evaluation/GATE56C_VERIFICATION.md ; docs/evaluation/SOLAR_EXPECTED_PERFORMANCE.md,Candidate solar expected-performance models fit real PVDAQ telemetry reasonably well on held-out time windows of the SAME systems they were developed on.,"Independent or cross-system validation. Gate 5.6B's Validation cohort is empty (INSUFFICIENT_DATA); therefore Gate 5.6C cannot be, and is not, independently validated. Zero cross-system generalization has been demonstrated.",NOT_VALIDATED
Diagnosis,Counterevidence & differential diagnosis engine (rai/models/differential_diagnosis.py) + deterministic evidence reasoner (rai/agent/fallback.py),11 targeted invariant tests + internal scenario fixtures (e.g. bearing wear vs lubrication degradation; soiling vs string fault),SYNTHETIC (software-invariant test fixtures),INTERNAL,11/11 targeted tests passing; 100% abstention to COMPETING_HYPOTHESES when counterevidence is symmetric,tests/test_differential_diagnosis.py ; docs/checkpoints/22-counterevidence-differential-diagnosis.md,"The system generates competing hypotheses, actively evaluates counterevidence, and abstains rather than asserting a single false cause, per its own coded rule set and ordering (weather/curtailment/sensor health ruled out before equipment fault).","Diagnostic accuracy against real, unmodelled, or multi-fault cascading failures in physical plant operation. No external diagnostic ground truth was used.",ARCHITECTURALLY_SUPPORTED
Historical case retrieval,rai/memory/ trajectory-similarity retrieval over a partitioned real+synthetic case library,14 external real cases (rai/memory/real_corpus.py: 12 wind CARE/Kelmarsh + 2 solar PVDAQ) + 14 internal synthetic reference cases (rai/memory/library.py),"MIXED — strictly partitioned, never merged","MIXED — strictly partitioned, never merged","On 10 deterministic test queries: P@1=90.0%, R@3=85.0%, MRR=0.950, partition purity=100%, provenance preservation=100%",artifacts/retrieval_benchmark_results.json ; docs/evaluation/REAL_CASE_CORPUS_PROVENANCE.md ; docs/evaluation/REAL_HISTORICAL_CASE_RETRIEVAL.md,Retrieval correctly surfaces topically-relevant precedent cases for a query asset and preserves source-type partition integrity — no synthetic case can leak into the real-case partition or vice versa.,"Causal failure diagnosis or ground-truth prediction of the current active fault. The underlying case corpus is real and externally sourced, but the P@1/R@3/MRR retrieval-quality metrics are computed against `relevant_case_ids` authored by the RAI team itself, not an independent or peer-reviewed relevance benchmark — this is a self-graded evaluation of retrieval mechanics, not an externally validated one. The 14 real cases are historical benchmark/open-data evidence, NOT live technician field verification.",DEMONSTRATED
RAG,"SQLite FTS5 + BM25-style ranked keyword retrieval over a curated knowledge corpus (rai/rag/index.py, rai/rag/retrieve.py)","19 curated internal documents (manuals, SOPs, incident logs) under knowledge/","SYNTHETIC (internally authored, clearly-labelled sample documents)",INTERNAL,"4/4 deterministic tests passing: capability probe, keyword search relevance (e.g. 'soiling' query), asset/component-filtered search, document list/get integrity (19 documents indexed)",tests/test_rag.py,"The FTS5 keyword+BM25 retrieval engine correctly returns relevant curated documents for known queries and correctly respects asset/component filters, over a small internally curated corpus.","Retrieval quality on unseen or paraphrased real-world technician queries, or validation against an independent relevance benchmark. The corpus is a small internally curated sample (19 documents), not a comprehensive real maintenance-manual library.",DEMONSTRATED
Local AI agent,"Needle 2 runtime + deterministic fallback reasoner, evaluated via internal agent evaluation battery (rai/eval/agent_eval.py)","10 curated deterministic scenario fixtures, Evaluator Tasks A-G",SYNTHETIC (internal deterministic fixtures),INTERNAL,Tasks A-G passed 100%; tool selection = 1.00; abstention accuracy = 1.00; unsupported-claim rate = 0.00%; Needle 2 latency 6451.9 ms,artifacts/evaluation/agent_eval/ ; docs/evaluation/LOCAL_AGENT_EVALUATION.md,"Tool use, provenance preservation, bounded reasoning, mandatory abstention under symmetric evidence, and workflow behavior are demonstrated on the internal evaluation corpus.","Production field performance, multi-turn conversational robustness on unmodelled real technician inputs, or safety under adversarial user prompts. This is NOT production field validation.",DEMONSTRATED
