case_id,asset_id,technology,source_dataset,source_record_or_file,source_location,original_event_type,observation_type,feedback_provenance,observation_level,retrieval_partition,promotion_status,promotion_reason,evidence_strength,synthetic_demo_test_flag,field_verification_evidence,external_source_evidence,claims_relying_on_case,final_adjudication
REAL-CARE-A-072,CARE-WT-A01,wind_turbine,CARE to Compare — Wind Farm A,"Zenodo 10.5281/zenodo.14006163, event_info.csv ID 72",Zenodo (Fraunhofer IEE / Plumley) / NREL OEDI,REAL_VERIFIED_EVENT,10-min SCADA / Status Codes / 15-min PV Telemetry,EXTERNAL_DATASET_ACADEMIC,FIELD_VERIFIED,real,ADMITTED_EXTERNAL_REAL,Audited external academic/open-data benchmark record with verified lineage,HIGH,FALSE,Gearbox replacement and up-tower overhaul documented in benchmark event log.,CARE to Compare — Wind Farm A (CC-BY-SA-4.0),10-query retrieval benchmark; Gearbox high-speed shaft bearing thermal escalation historical analog,EXTERNAL_REAL (REAL_VERIFIED_EVENT)
REAL-CARE-A-000,CARE-WT-A02,wind_turbine,CARE to Compare — Wind Farm A,"Zenodo 10.5281/zenodo.14006163, event_info.csv ID 0",Zenodo (Fraunhofer IEE / Plumley) / NREL OEDI,REAL_VERIFIED_EVENT,10-min SCADA / Status Codes / 15-min PV Telemetry,EXTERNAL_DATASET_ACADEMIC,FIELD_VERIFIED,real,ADMITTED_EXTERNAL_REAL,Audited external academic/open-data benchmark record with verified lineage,HIGH,FALSE,Generator bearing replacement and shaft alignment.,CARE to Compare — Wind Farm A (CC-BY-SA-4.0),10-query retrieval benchmark; Generator drive-end bearing thermal breakdown historical analog,EXTERNAL_REAL (REAL_VERIFIED_EVENT)
REAL-CARE-A-068,CARE-WT-A03,wind_turbine,CARE to Compare — Wind Farm A,"Zenodo 10.5281/zenodo.14006163, event_info.csv ID 68",Zenodo (Fraunhofer IEE / Plumley) / NREL OEDI,REAL_VERIFIED_EVENT,10-min SCADA / Status Codes / 15-min PV Telemetry,EXTERNAL_DATASET_ACADEMIC,FIELD_VERIFIED,real,ADMITTED_EXTERNAL_REAL,Audited external academic/open-data benchmark record with verified lineage,HIGH,FALSE,High-voltage transformer unit replacement.,CARE to Compare — Wind Farm A (CC-BY-SA-4.0),10-query retrieval benchmark; High-voltage transformer phase L3 overheating and breakdown historical analog,EXTERNAL_REAL (REAL_VERIFIED_EVENT)
REAL-CARE-A-022,CARE-WT-A04,wind_turbine,CARE to Compare — Wind Farm A,"Zenodo 10.5281/zenodo.14006163, event_info.csv ID 22",Zenodo (Fraunhofer IEE / Plumley) / NREL OEDI,REAL_VERIFIED_EVENT,10-min SCADA / Status Codes / 15-min PV Telemetry,EXTERNAL_DATASET_ACADEMIC,FIELD_VERIFIED,real,ADMITTED_EXTERNAL_REAL,Audited external academic/open-data benchmark record with verified lineage,HIGH,FALSE,"Hydraulic pump service, seal replacement, and oil top-up.",CARE to Compare — Wind Farm A (CC-BY-SA-4.0),10-query retrieval benchmark; Hydraulic pump / oil overheating and pressure loss historical analog,EXTERNAL_REAL (REAL_VERIFIED_EVENT)
REAL-CARE-B-053,CARE-WT-B01,wind_turbine,CARE to Compare — Wind Farm B,"Zenodo 10.5281/zenodo.14006163, event_info.csv ID 53",Zenodo (Fraunhofer IEE / Plumley) / NREL OEDI,REAL_VERIFIED_EVENT,10-min SCADA / Status Codes / 15-min PV Telemetry,EXTERNAL_DATASET_ACADEMIC,FIELD_VERIFIED,real,ADMITTED_EXTERNAL_REAL,Audited external academic/open-data benchmark record with verified lineage,HIGH,FALSE,Main bearing replacement requiring mobile crane mobilization.,CARE to Compare — Wind Farm B (CC-BY-SA-4.0),10-query retrieval benchmark; Main rotor shaft bearing 2 mechanical damage historical analog,EXTERNAL_REAL (REAL_VERIFIED_EVENT)
REAL-CARE-C-081,CARE-WT-C01,wind_turbine,CARE to Compare — Wind Farm C,"Zenodo 10.5281/zenodo.14006163, event_info.csv ID 81",Zenodo (Fraunhofer IEE / Plumley) / NREL OEDI,REAL_VERIFIED_EVENT,10-min SCADA / Status Codes / 15-min PV Telemetry,EXTERNAL_DATASET_ACADEMIC,FIELD_VERIFIED,real,ADMITTED_EXTERNAL_REAL,Audited external academic/open-data benchmark record with verified lineage,HIGH,FALSE,Fuse filter supply replacement in converter cabinet.,CARE to Compare — Wind Farm C (CC-BY-SA-4.0),10-query retrieval benchmark; Converter filter supply fuse failure historical analog,EXTERNAL_REAL (REAL_VERIFIED_EVENT)
REAL-KEL-1-FORCED-3000,Kelmarsh-1,wind_turbine,Kelmarsh Wind Farm 2019,"Zenodo 10.5281/zenodo.5841834, Status_Kelmarsh_1 line 634",Zenodo (Fraunhofer IEE / Plumley) / NREL OEDI,REAL_OPERATIONAL_EVENT,10-min SCADA / Status Codes / 15-min PV Telemetry,EXTERNAL_DATASET_ACADEMIC,DATASET_LOG_VERIFIED,real,ADMITTED_EXTERNAL_REAL,Audited external academic/open-data benchmark record with verified lineage,MEDIUM,FALSE,Automated control reset; zero technician intervention or hardware replacement.,Kelmarsh Wind Farm 2019 (CC-BY-4.0),10-query retrieval benchmark; Operational trip: Frequency converter not ready (Code 3000) historical analog,EXTERNAL_REAL (REAL_OPERATIONAL_EVENT)
REAL-KEL-1-FORCED-2550,Kelmarsh-1,wind_turbine,Kelmarsh Wind Farm 2019,"Zenodo 10.5281/zenodo.5841834, Status_Kelmarsh_1 line 1240",Zenodo (Fraunhofer IEE / Plumley) / NREL OEDI,REAL_OPERATIONAL_EVENT,10-min SCADA / Status Codes / 15-min PV Telemetry,EXTERNAL_DATASET_ACADEMIC,DATASET_LOG_VERIFIED,real,ADMITTED_EXTERNAL_REAL,Audited external academic/open-data benchmark record with verified lineage,MEDIUM,FALSE,Protective thermal reset; returned to operation upon thermal recovery.,Kelmarsh Wind Farm 2019 (CC-BY-4.0),10-query retrieval benchmark; Auxiliary overload: Generator cooling fan 1 thermal protection trip (Code 2550) historical analog,EXTERNAL_REAL (REAL_OPERATIONAL_EVENT)
REAL-KEL-1-MAINT-0020,Kelmarsh-1,wind_turbine,Kelmarsh Wind Farm 2019,"Zenodo 10.5281/zenodo.5841834, Status_Kelmarsh_1 line 1225",Zenodo (Fraunhofer IEE / Plumley) / NREL OEDI,REAL_MAINTENANCE_EVENT,10-min SCADA / Status Codes / 15-min PV Telemetry,EXTERNAL_DATASET_ACADEMIC,DATASET_LOG_VERIFIED,real,ADMITTED_EXTERNAL_REAL,Audited external academic/open-data benchmark record with verified lineage,MEDIUM,FALSE,On-site technician inspection / scheduled maintenance protocol.,Kelmarsh Wind Farm 2019 (CC-BY-4.0),10-query retrieval benchmark; Scheduled on-site maintenance / service stop (Code 20) historical analog,EXTERNAL_REAL (REAL_MAINTENANCE_EVENT)
REAL-KEL-1-ENV-0010,Kelmarsh-1,wind_turbine,Kelmarsh Wind Farm 2019,"Zenodo 10.5281/zenodo.5841834, Status_Kelmarsh_1 line 23",Zenodo (Fraunhofer IEE / Plumley) / NREL OEDI,ENVIRONMENTAL_EVENT,10-min SCADA / Status Codes / 15-min PV Telemetry,EXTERNAL_DATASET_ACADEMIC,DATASET_LOG_VERIFIED,real,ADMITTED_EXTERNAL_REAL,Audited external academic/open-data benchmark record with verified lineage,MEDIUM,FALSE,None (automated atmospheric control logic).,Kelmarsh Wind Farm 2019 (CC-BY-4.0),10-query retrieval benchmark; Atmospheric standstill: Wind speed below cut-in (Code 10) historical analog,EXTERNAL_REAL (ENVIRONMENTAL_EVENT)
