claim_id,claim_statement,capability,exact_artifact,capability_level,limitation
CLAIM-CARE-DETECT,"RAI detects abnormal wind turbine behavior using physics-conditioned residual models, benchmarked on real SCADA with documented failure events.",CARE wind anomaly detection,artifacts/evaluation/external_care/,VALIDATED,Evaluated on 3 CARE farms / 36 turbines; does not guarantee zero-shot performance on uncalibrated fleets.
CLAIM-CARE-TRANSFER,Detection performance transfers across wind farms when calibrated on unlabelled target-farm SCADA.,CARE cross-farm transfer,artifacts/evaluation/gate54/,VALIDATED,Requires unlabelled normal-operating telemetry from the target farm; raw zero-shot transfer is not validated.
CLAIM-KELMARSH,RAI's anomaly scoring is consistent with independently logged wind-farm operational events (Kelmarsh benchmark).,Kelmarsh benchmark,artifacts/evaluation/kelmarsh_event_behaviour/,VALIDATED,Must NOT be described as failure prediction or hardware-failure validation; no component-failure ground truth exists in the public Kelmarsh record.
CLAIM-ENV-DISCRIM,"An environmental explanation is ruled out (weather, curtailment, soiling) before an equipment fault is asserted.",Environmental context / discrimination,tests/test_environment_solar.py,DEMONSTRATED,"Ground truth for fault/no-fault windows is internal-simulator-based, not independently observed field data."
CLAIM-SOLAR-FOUNDATION,Real public solar telemetry was acquired and audited as a modeling-ready data foundation.,Solar PVDAQ data foundation,artifacts/evaluation/gate56/cohort_adjudication/,VALIDATED,Data-acquisition and audit only; the adjudicated Validation cohort is empty (INSUFFICIENT_DATA).
CLAIM-SOLAR-PHYSICS,RAI's solar expected-performance model is validated.,Solar physics layer,artifacts/evaluation/gate56/gate56c_model_development/,NOT_VALIDATED,NOT INDEPENDENTLY VALIDATED. Fit and tested only on within-system temporal holdouts of the Development cohort; Validation cohort is empty.
CLAIM-DIAGNOSIS,"RAI performs differential diagnosis, ruling out competing hypotheses before concluding an equipment fault.",Diagnosis,tests/test_differential_diagnosis.py,ARCHITECTURALLY_SUPPORTED,Rule-based logic verified by invariant tests only; not validated against real unmodelled or multi-fault failures.
CLAIM-CASE-RETRIEVAL,"RAI retrieves relevant historical precedent cases, including real documented failures, to support a maintenance decision.",Historical case retrieval,artifacts/retrieval_benchmark_results.json,DEMONSTRATED,"14 external cases are historical benchmark/open-data evidence, NOT live technician field verification. Retrieval-quality metrics (P@1/R@3/MRR) are computed against self-authored relevance judgments, not an independent benchmark."
CLAIM-RAG,"RAI cites relevant maintenance manuals, SOPs, and incident documents to support its explanations.",RAG,tests/test_rag.py,DEMONSTRATED,"Corpus is 19 internally curated sample documents, not a comprehensive real maintenance-manual library; no independent relevance benchmark."
CLAIM-LOCAL-AGENT,"RAI's local AI agent reasons over evidence with bounded, auditable tool use and abstains when evidence is insufficient.",Local AI agent,artifacts/evaluation/agent_eval/,DEMONSTRATED,Evaluated on 10 internal deterministic fixtures; NOT production field validation.
CLAIM-ECONOMICS,RAI quantifies the economic consequence of a detected fault to support the intervention decision.,Economic consequence analysis,tests/test_economic_decision_support.py,DEMONSTRATED,Outputs are modeled/projected consequences under stated assumptions. Never realized savings.
CLAIM-RECOMMEND,"RAI recommends a bounded maintenance action based on evidence and confidence, deferring to a human below a confidence threshold.",Recommendation engine,tests/test_decision_engine.py,ARCHITECTURALLY_SUPPORTED,Deterministic rule engine verified by tests only; does not prove real-world decision-quality improvement. Proposal-only — never executes autonomous control actions.
CLAIM-WORKORDERS,RAI supports the full work-order lifecycle from proposal through technician dispatch.,Work orders,docs/evaluation/CLOSED_LOOP_INTEGRITY_AUDIT.md,DEMONSTRATED,Demonstrated in a demo/test environment; zero live commercial deployments.
CLAIM-DISPATCH,RAI schedules crew dispatch within safe weather windows.,Dispatch optimization,artifacts/weather_cache/,ARCHITECTURALLY_SUPPORTED,"Configured heuristic thresholds, not a certified operational safety guarantee."
CLAIM-WEATHER-SCHED,"RAI's scheduling is weather-aware, using live/cached forecasts to gate physical field work.",Weather-aware scheduling,artifacts/weather_cache/kutch-wind_latest.json,ARCHITECTURALLY_SUPPORTED,Same underlying engine as dispatch optimization; forecast accuracy is a third-party dependency.
CLAIM-TECH-FEEDBACK,RAI captures technician field feedback and gates it before it can influence future retrieval.,Technician feedback,artifacts/evaluation/real_case_provenance/provenance_summary.json,DEMONSTRATED,All current tickets are quarantined test fixtures or demo simulations; zero live commercial technicians are active.
CLAIM-CLOSED-LOOP,RAI closes the loop from anomaly to technician feedback to candidate case ingestion.,Closed-loop learning,docs/evaluation/CLOSED_LOOP_INTEGRITY_AUDIT.md,DEMONSTRATED,Browser-workflow demonstrated end-to-end; does NOT establish production learning from live utility field data.
CLAIM-FRONTEND,RAI's operator console presents the evidence-backed decision workflow end-to-end.,Frontend operational workflow,web/,DEMONSTRATED,No real-operator usability study has been performed.
